,Prob_Down,Prob_Stable,Prob_Up
0,0.43839908,0.05241015,0.50919086
1,0.21398126,0.6810558,0.104962945
2,0.18045893,0.7479889,0.071552135
3,0.13209938,0.71389234,0.15400833
4,0.22897343,0.5205889,0.2504377
5,0.4247736,0.47041148,0.10481497
6,0.16014427,0.6836909,0.15616488
7,0.32857528,0.6546098,0.01681496
8,0.18028887,0.77373695,0.045974247
9,0.26369444,0.575705,0.16060057
10,0.36414784,0.49812198,0.13773023
11,0.4735541,0.46887878,0.057567134
12,0.43807787,0.41552734,0.14639468
13,0.30742761,0.468171,0.22440132
14,0.14337851,0.4810884,0.37553316
15,0.28932542,0.69104844,0.019626236
16,0.315375,0.45868522,0.22593969
17,0.32706752,0.5111242,0.16180833
18,0.23998013,0.41485557,0.34516427
19,0.2230997,0.71337086,0.06352947
20,0.11516868,0.84928083,0.035550587
21,0.28692535,0.6106937,0.102381065
22,0.41241118,0.5102981,0.07729083
23,0.26802504,0.62270427,0.109270655
24,0.2873042,0.07954818,0.6331477
25,0.61958313,0.19821249,0.18220437
26,0.14680518,0.70160383,0.15159108
27,0.5195908,0.31464657,0.16576265
28,0.39373863,0.53196543,0.07429597
29,0.19784099,0.7346504,0.06750856
30,0.21056148,0.7350327,0.054405842
31,0.21037465,0.66615474,0.12347058
32,0.5069767,0.27888316,0.21413998
33,0.48415667,0.2007516,0.31509167
34,0.26304507,0.45714533,0.27980953
35,0.12909782,0.6991585,0.17174357
36,0.30446756,0.6671037,0.028428582
37,0.37702224,0.35436028,0.26861736
38,0.19965048,0.7267338,0.073615596
39,0.5505758,0.38929355,0.06013054
40,0.4328361,0.22216041,0.34500346
41,0.4382581,0.36475992,0.19698204
42,0.82395977,0.12241218,0.053628024
43,0.3022219,0.5048752,0.19290303
44,0.21053647,0.73176765,0.05769591
45,0.39479318,0.51048326,0.09472352
46,0.20566547,0.27784428,0.51649034
47,0.46741185,0.46888876,0.063699335
48,0.29628935,0.6526193,0.05109141
49,0.44758424,0.46514714,0.08726855
50,0.482717,0.3729813,0.14430168
51,0.38668704,0.5182358,0.09507718
52,0.30105716,0.54354066,0.15540212
53,0.48316145,0.41253275,0.10430593
54,0.11580742,0.8484555,0.035737112
55,0.21358274,0.7629152,0.023502046
56,0.082793504,0.7220194,0.19518714
57,0.8790415,0.05017376,0.07078476
58,0.5832753,0.27808154,0.13864322
59,0.5089121,0.4284776,0.0626103
60,0.40567622,0.21649629,0.37782744
61,0.24357943,0.618426,0.13799444
62,0.40741917,0.40298566,0.1895951
63,0.29175076,0.64240664,0.06584256
64,0.1606232,0.7808606,0.058516234
65,0.39965764,0.53507054,0.065271914
66,0.11466391,0.655063,0.23027308
67,0.2061452,0.7599234,0.033931475
68,0.20220912,0.7335289,0.06426192
69,0.34213886,0.42811286,0.2297483
70,0.33887067,0.63912565,0.02200372
71,0.2567161,0.48800558,0.25527835
72,0.22678359,0.6654234,0.107792936
73,0.21013659,0.7504924,0.039370954
74,0.31299135,0.35066557,0.33634305
75,0.25273535,0.58978593,0.15747876
76,0.31270322,0.45327994,0.23401688
77,0.07666639,0.9032542,0.020079369
78,0.21141866,0.7377843,0.05079703
79,0.37983072,0.5612319,0.05893746
80,0.15600793,0.55639726,0.28759483
81,0.3517312,0.43378142,0.2144874
82,0.16603896,0.7616789,0.07228217
83,0.14404592,0.58476406,0.27119005
84,0.3145491,0.6125194,0.07293145
85,0.5951255,0.25607455,0.14879993
86,0.22890897,0.7436331,0.02745787
87,0.5832753,0.27808154,0.13864322
